,date,neg,neu,pos,compound
0,2023-04-03,0.0,0.0,0.0,0.0
1,2023-04-10,0.086,0.816,0.098,0.9796
2,2023-04-11,0.07,0.783,0.147,0.9998
3,2023-04-26,0.026,0.863,0.111,0.9725
4,2023-04-27,0.0,0.0,0.0,0.0
5,2023-05-05,0.029,0.795,0.176,0.9509
6,2023-05-24,0.041,0.878,0.081,0.9914
7,2023-06-12,0.03,0.852,0.118,0.9986
8,2023-06-16,0.0,0.0,0.0,0.0
9,2023-06-22,0.0,0.0,0.0,0.0
10,2023-06-29,0.021,0.437,0.042,0.4895
11,2023-07-03,0.0,0.0,0.0,0.0
12,2023-07-05,0.0,0.0,0.0,0.0
13,2023-07-09,0.0,0.0,0.0,0.0
14,2023-07-12,0.032,0.878,0.09,0.9904
15,2023-07-23,0.0,0.951,0.049,0.1406
16,2023-07-25,0.0,0.0,0.0,0.0
17,2023-08-02,0.054,0.91,0.036,-0.3415
18,2023-08-03,0.008,0.91,0.081,0.9755
19,2023-08-09,0.0,0.0,0.0,0.0
20,2023-08-10,0.0,0.0,0.0,0.0
21,2023-08-29,0.0,0.0,0.0,0.0
22,2023-09-06,0.058,0.862,0.081,0.2709
23,2023-09-15,0.0,0.0,0.0,0.0
24,2023-09-28,0.004,0.874,0.123,0.9957
25,2023-10-09,0.076,0.818,0.105,0.1872
26,2023-10-12,0.0,0.943,0.057,0.9711
27,2023-10-17,0.116,0.814,0.07,-0.9559
28,2023-10-18,0.0,0.0,0.0,0.0
29,2023-10-23,0.0,0.0,0.0,0.0
30,2023-10-29,0.085,0.915,0.0,-0.4871
31,2023-10-31,0.0,0.0,0.0,0.0
32,2023-11-01,0.0,0.95,0.05,0.8552
33,2023-11-03,0.079,0.819,0.102,0.9701
34,2023-11-05,0.027,0.926,0.046,0.168
35,2023-11-07,0.032,0.861,0.106,0.9844
36,2023-11-08,0.003,0.922,0.075,0.9888
37,2023-11-10,0.0,0.96,0.04,0.2406
38,2023-11-12,0.0,1.0,0.0,0.0
39,2023-11-13,0.086,0.874,0.04,-0.8816
40,2023-11-14,0.0,0.831,0.169,0.7269
41,2023-11-20,0.014,0.805,0.181,0.9999
42,2023-11-21,0.015333333333333332,0.2916666666666667,0.02666666666666667,0.3086333333333333
43,2023-11-22,0.052,0.948,0.0,-0.05135
44,2023-11-23,0.0,0.951,0.049,0.25
45,2023-11-24,0.026,0.8835,0.0905,0.33215
46,2023-11-27,0.0155,0.8935,0.091,0.6289
47,2023-11-28,0.0205,0.8265,0.153,0.6553
48,2023-11-29,0.037,0.84,0.123,0.9137
49,2023-11-30,0.0,0.0,0.0,0.0
50,2023-12-01,0.011857142857142856,0.3907142857142857,0.026,0.23934285714285713
51,2023-12-02,0.0,0.0,0.0,0.0
