,date,neg,neu,pos,compound
0,2023-04-06,0.0,0.776,0.224,0.9866
1,2023-04-10,0.144,0.708,0.147,-0.1356
2,2023-04-12,0.0,0.811,0.189,0.9466
3,2023-04-20,0.0,0.945,0.055,0.3947
4,2023-04-22,0.305,0.647,0.048,-0.9841
5,2023-04-29,0.0,1.0,0.0,0.0
6,2023-05-01,0.061,0.883,0.056,-0.4412
7,2023-05-09,0.0,0.781,0.219,0.84
8,2023-05-11,0.013,0.819,0.168,0.9642
9,2023-06-01,0.094,0.788,0.118,0.6948
10,2023-06-11,0.15,0.7,0.15,0.0
11,2023-06-12,0.083,0.85,0.066,-0.6858
12,2023-06-26,0.0,0.858,0.142,0.7303
13,2023-06-30,0.138,0.741,0.121,-0.2006
14,2023-07-01,0.085,0.859,0.055,-0.6293
15,2023-07-03,0.073,0.803,0.124,0.7391
16,2023-07-28,0.0445,0.8665,0.089,0.9556
17,2023-07-29,0.2036,0.6914,0.1048,-0.20276
18,2023-07-31,0.059,0.86,0.081,0.6018
19,2023-08-22,0.245,0.625,0.13,-0.34
20,2023-08-24,0.0,1.0,0.0,0.0
21,2023-09-22,0.256,0.526,0.218,-0.128
22,2023-09-23,0.056,0.913,0.031,-0.6533
23,2023-09-29,0.015,0.843,0.142,0.9393
24,2023-10-11,0.189,0.77,0.041,-0.9999
25,2023-10-18,0.0,0.777,0.223,0.9714
26,2023-10-19,0.173,0.691,0.136,-0.4588
27,2023-10-22,0.0,1.0,0.0,0.0
28,2023-10-23,0.0,0.565,0.435,0.9018
29,2023-10-24,0.16,0.732,0.108,-0.9689
30,2023-10-29,0.0,0.738,0.262,0.9519
31,2023-10-30,0.205,0.657,0.138,-0.966
32,2023-10-31,0.0,0.651,0.349,0.9428
33,2023-11-01,0.159,0.841,0.0,-0.8957
34,2023-11-05,0.089,0.8315,0.0795,-0.08149999999999999
35,2023-11-18,0.025,0.857,0.118,0.9915
36,2023-11-21,0.139,0.673,0.188,0.0258
37,2023-12-03,0.026,0.704,0.269,0.998
38,2023-12-04,0.0,0.937,0.063,0.4871
39,2023-12-09,0.0,1.0,0.0,0.0
40,2023-12-13,0.216,0.667,0.118,-0.3612
41,2024-01-07,0.13,0.809,0.06,-0.972
42,2024-01-11,0.033,0.906,0.061,0.8934
